rank,name,city,address,phone,postal_code,primary_district,category,retail_category,portfolio_score,tier,primary_line,named_contact,contact_title,next_action,verification_confidence,source
1,Newport Ace Hardware & Outdoor,Newport,"2340 N Coast Hwy, Newport, OR 97365",541-272-5440,97365,Oregon Coast,hardware_farm_rural,Hardware / farm store with outdoor,89,A+,Eagle Peak,Bob Leis,Owner,Call owner; reconfirm email before outreach,High,ODFW + Greater Newport Chamber + Ace listing
2,Central Cascades Archery,Bend,,541-633-7633,97701,Central Oregon,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
3,Chetco Outdoor Store,Brookings,,541-469-9151,97415,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
4,Gunners Sport Shop,Brookings,,541-412-7015,97415,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
5,Nestucca Valley Sporting Goods,Hebo,,503-392-4269,97122,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
6,Rogue Outdoor Store,Gold Beach,"29865 Ellensburg Ave, Gold Beach, OR 97444",541-247-7142,97444,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,James H. Carey Jr.,Contact (secondary source),Call; confirm buyer vs secondary licensing contact,High,Oregon Coast tourism + ODFW
7,Scout Outpost by Lincoln City Sporting Goods,Lincoln City,,541-996-4747,97367,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
8,Tillamook Sporting Goods,Tillamook,2207 Main Ave N Suite B (verify vs 2205),503-842-4334,97141,Oregon Coast,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Phone-verify street number before visit,Medium,ODFW + conflicting dealer directories
9,Tines and Timber Outdoors,Prineville,,458-800-6497,97754,Central Oregon,outdoor_camping_hunting,Outdoor specialty,89,A+,Eagle Peak,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
10,Bandon Bait Shop,Bandon,,541-347-3905,97411,Oregon Coast,fishing_fly_tackle,Bait & tackle,88,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
11,ShrimpDaddy's Bait & Tackle,Waldport,,541-563-9682,97394,Oregon Coast,fishing_fly_tackle,Bait & tackle,88,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
12,U Save Gas & Tackle,Harbor,,541-440-0486,97415,Oregon Coast,fishing_fly_tackle,Bait & tackle,88,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
13,Coyote Rock RV & Marina,Lincoln City,,541-996-6824,97367,Oregon Coast,rv_campground,RV & marina retail,87,A+,Multi-line,,,Call; lead with recreation multi-line pitch,Medium-High,ODFW agent directory
14,Englund Marine Supply – Astoria,Astoria,,503-325-4341,97103,Oregon Coast,marine_retail,Marine supply,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
15,Englund Marine Supply – Newport,Newport,,541-265-9275,97365,Oregon Coast,marine_retail,Marine supply,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
16,Kelly's Brighton Marina,Rockaway Beach,,503-368-5745,97136,Oregon Coast,marine_retail,Marina,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
17,Newport Marina Store,Newport,,541-867-4470,97365,Oregon Coast,marine_retail,Marina store,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
18,Port O'Call,Bandon,,541-347-2875,97411,Oregon Coast,marine_retail,Marina / harbor retail,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
19,Port of Alsea Dock of the Bay,Waldport,,541-563-3872,97394,Oregon Coast,marine_retail,Marina / dock retail,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
20,Wheeler Marina,Wheeler,,503-368-5780,97146,Oregon Coast,marine_retail,Marina,87,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
21,Ashland Fly Shop,Ashland,,541-488-6454,97520,Southern Oregon,fishing_fly_tackle,Fly shop,85,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
22,Deschutes River Fly Shop,Madras,,541-553-2586,97741,Central Oregon,fishing_fly_tackle,Fly shop,85,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
23,Fly & Field Outfitters,Bend,,541-318-1616,97701,Central Oregon,fishing_fly_tackle,Fly shop / outfitter,85,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
24,Joe's Tackle Box,Prineville,,541-220-6852,97754,Central Oregon,fishing_fly_tackle,Tackle shop,85,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
25,The Fly Fisher's Place,Sisters,,541-549-3474,97759,Central Oregon,fishing_fly_tackle,Fly shop,85,A+,Big Fish Gear,,,Call to verify phone buyer and address,Medium-High,ODFW agent directory
V1,Sportsman's Warehouse – Albany,Albany,"1351 Waverly Dr SE, Albany, OR 97322",541-928-5400,97322,Willamette Valley,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Kerry Mellander,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V2,Sportsman's Warehouse – Bend,Bend,"63492 Hunnell Rd, Bend, OR 97703",541-693-5000,97703,Central Oregon,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Jackson Posey,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V3,Sportsman's Warehouse – Hillsboro,Hillsboro,"10645 NE Tanasbourne Dr, Hillsboro, OR 97124",503-844-9100,97124,Portland Metro,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Trista Bishop,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V4,Sportsman's Warehouse – Klamath Falls,Klamath Falls,"1863 Avalon Street, Klamath Falls, OR 97603",541-273-3000,97603,Southern Oregon,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Robert Mozingo,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V5,Sportsman's Warehouse – Medford,Medford,"1710 Delta Waters Rd, Medford, OR 97504",541-732-3700,97504,Southern Oregon,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Heather Jaxx,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V6,Sportsman's Warehouse – Portland/Happy Valley,Happy Valley,"9401 SE 82nd Ave, OR 97086",503-777-8700,97086,Portland Metro,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Paul Tragis,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V7,Sportsman's Warehouse – Roseburg,Roseburg,"2122 NW Stewart Parkway, Roseburg, OR 97471",541-673-0200,97471,Southern Oregon,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Matthew Osborne,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
V8,Sportsman's Warehouse – Salem,Salem,"1260 Lancaster Dr SE, Salem, OR 97317",503-589-0800,97317,Willamette Valley,outdoor_camping_hunting,Outdoor chain,,A,Old Guys Rule,Kelsey Steggell,Store Manager,Vendor-development path; do not treat as independent store-level cold call,High,Official Sportsman's Warehouse store page
