business_name,physical_address,primary_phone,verified_email,key_personnel,crm_action,crm_id
Big Wheel General Store,"130 Baltimore Ave SE, Bandon, OR 97411",541-347-3719,Unspecified,Christine Michalek (Owner),skipped_active_account_enriched,613
Second Street Gallery,"210 2nd St SE, Bandon, OR 97411",541-347-4133,SecondStreetGalleryBandon@gmail.com,"Pete Bauer, Candace Kreitlow",inserted,667
Art by the Sea Gallery,"145 Fillmore Ave SE, Bandon, OR 97411",541-347-5355,Artbytheseagalleryandstudio@gmail.com,Cooperative Membership,inserted,668
The Loft on 2nd,"120 2nd St SE, Bandon, OR 97411",541-551-5988,Unspecified (Webform),Chip and Jean Salmon (Owners),inserted,669
Sweet Peas,"155 Baltimore Ave SE, Bandon, OR 97411",541-329-3967,Unspecified,Chip and Jean Salmon (Owners),inserted,670
The Toy Room,"295 2nd St SE, Bandon, OR 97411",541-347-9783,steve@steveprottsman.com,Steve Prottsman (Owner),inserted,671
Misty Meadows Jams,"48053 US-101, Bandon, OR 97411",541-347-2575,Unspecified (Webform),Family Owned (Since 1970),inserted,672
Bandon Card & Gift Shoppe,"265 2nd St SE, Bandon, OR 97411",541-347-9214,ldavies347@yahoo.com,Unspecified,inserted,673
Sassy Seagull (Bandon Store),"198 2nd St SE, Bandon, OR 97411",541-777-7147,Unspecified,Unspecified,inserted,674
Spirit of Oregon,"112 2nd St, Bandon, OR 97411",541-347-4311,Unspecified,Unspecified,inserted,675
WinterRiver Books,"170 2nd St SE, Bandon, OR 97411",541-347-4111,team@mywinterriver.com,Unspecified,inserted,676
Bandon Bait Shop,"Bandon, OR 97411",541-347-3905 (already in CRM),Unspecified,Unspecified,skipped_existing_prospect,641
